scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
20250600000000.0,140060931,1.0,1.0,,42.6688429,-73.74151371,5.0,1.0,3.0,3.0,1.0,29,1.0,1.0,29,29,1.0,29.0,,29,59,88,88,0.0,0.0,0.0,88,0.0,0,0.0,4.93,4.96,4.91,4.98,4.99,4.89,4.89,,1.0,1.0,0.0,0,1.25
20250600000000.0,67171774,1.0,1.0,,42.65846,-73.80201,2.0,1.0,1.0,1.0,4.0,730,4.0,4.0,730,730,4.0,730.0,,17,33,59,331,115.0,18.0,4.0,172,16.0,144,4740.0,4.93,4.96,4.91,4.98,4.99,4.89,4.89,,1.0,1.0,0.0,0,1.25
20250600000000.0,4259750,8.0,13.0,,42.675,-73.82382,6.0,1.0,2.0,3.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,26,49,79,354,77.0,22.0,0.0,195,8.0,132,25872.0,4.95,4.94,4.83,4.94,4.94,4.84,4.79,,8.0,8.0,0.0,0,0.83
20250600000000.0,65414985,2.0,2.0,,42.64939,-73.76865,4.0,1.0,1.0,2.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,16,36,66,341,131.0,0.0,0.0,182,1.0,0,0.0,4.91,4.93,4.93,4.98,4.96,4.89,4.87,,2.0,2.0,0.0,0,1.49
20250600000000.0,98744672,8.0,8.0,,42.65532,-73.78244,2.0,1.0,1.0,1.0,2.0,365,2.0,2.0,1125,1125,2.0,1125.0,,0,0,0,266,48.0,7.0,1.0,107,6.0,42,2856.0,4.92,4.92,4.94,4.94,4.98,4.92,4.88,,8.0,2.0,0.0,0,0.51
20250600000000.0,135717458,11.0,15.0,,42.66565,-73.77975,2.0,1.0,1.0,1.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,6,36,66,341,46.0,6.0,1.0,182,3.0,216,7776.0,4.78,4.85,4.72,4.98,4.96,4.65,4.67,,3.0,0.0,3.0,0,0.54
20250600000000.0,98744672,8.0,8.0,,42.65372,-73.78244,2.0,1.0,1.0,1.0,2.0,730,2.0,2.0,730,730,2.0,730.0,,0,0,8,260,131.0,18.0,4.0,101,17.0,108,6480.0,4.85,4.89,4.85,4.91,4.93,4.88,4.83,,8.0,2.0,0.0,0,1.42
20250600000000.0,4259750,8.0,13.0,,42.67547,-73.82402,2.0,1.0,1.0,1.0,4.0,1125,4.0,4.0,1125,1125,4.0,1125.0,,30,60,90,365,8.0,0.0,0.0,206,0.0,0,0.0,5.0,5.0,5.0,5.0,4.88,5.0,4.88,,8.0,8.0,0.0,0,0.09
20250600000000.0,152762198,9.0,17.0,,42.66045,-73.77833,4.0,1.0,1.0,2.0,3.0,730,3.0,3.0,730,730,3.0,730.0,,20,36,66,341,13.5,14.0,1.0,182,21.0,84,5628.0,4.75,4.86,4.77,4.92,4.98,4.56,4.76,,9.0,9.0,0.0,0,1.97
20250600000000.0,135717458,11.0,15.0,,42.66572,-73.77834,2.0,1.0,1.0,1.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,0,5,35,310,32.0,7.0,0.0,151,9.0,252,9324.0,4.84,4.78,4.69,4.97,4.97,4.69,4.69,,3.0,0.0,3.0,0,0.35
20250600000000.0,135717458,11.0,15.0,,42.66703,-73.77842,1.0,1.0,1.0,1.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,0,0,0,157,26.0,4.0,0.0,0,4.0,144,5040.0,4.77,4.65,4.58,4.96,5.0,4.69,4.73,,3.0,0.0,3.0,0,0.29
20250600000000.0,98744672,8.0,8.0,,42.65501,-73.78122,2.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,16,37,55,330,121.0,15.0,0.0,171,14.0,90,4860.0,4.91,4.9,4.92,4.98,4.93,4.93,4.83,,8.0,2.0,0.0,0,1.34
20250600000000.0,156446839,1.0,4.0,,42.65975,-73.81196,2.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,0,3,32,32,122.0,1.0,0.0,32,5.0,6,408.0,4.93,4.95,4.96,4.97,4.98,4.97,4.97,,1.0,0.0,1.0,0,1.4
20250600000000.0,98744672,8.0,8.0,,42.65431,-73.78178,2.0,1.0,1.0,1.0,2.0,730,2.0,2.0,730,730,2.0,730.0,,10,27,49,324,50.0,9.0,0.0,165,7.0,54,3834.0,4.94,4.96,4.94,4.96,4.96,4.96,4.88,,8.0,2.0,0.0,0,0.62
20250600000000.0,9666970,1.0,1.0,,42.65345,-73.7645,2.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,7,26,49,134,13.5,5.0,5.0,134,4.0,255,18360.0,4.9,4.94,4.9,4.97,4.95,4.92,4.92,,1.0,1.0,0.0,0,1.2
20250600000000.0,31757246,1.0,4.0,,42.65333,-73.77293,2.0,1.0,1.0,1.0,3.0,28,3.0,3.0,1125,1125,3.0,1125.0,,24,48,78,353,14.0,2.0,0.0,194,2.0,12,1116.0,4.86,4.93,5.0,5.0,5.0,4.93,4.71,,1.0,0.0,1.0,0,0.17
20250600000000.0,6833937,1.0,1.0,,42.65403,-73.76325,4.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,23,37,63,327,142.0,30.0,3.0,179,22.0,180,14400.0,4.85,4.92,4.82,4.97,4.99,4.95,4.8,,1.0,1.0,0.0,0,1.7
20250600000000.0,98744672,8.0,8.0,,42.65430832,-73.78177643,2.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,10,31,61,336,26.0,3.0,0.0,177,5.0,18,972.0,5.0,5.0,4.92,5.0,5.0,4.96,4.92,,8.0,2.0,0.0,0,0.34
20250600000000.0,202580880,1.0,2.0,,42.64514,-73.80668,4.0,1.0,2.0,2.0,3.0,1125,3.0,3.0,1125,1125,3.0,1125.0,,8,38,68,188,14.0,0.0,0.0,157,0.0,0,0.0,4.93,5.0,4.71,5.0,4.86,5.0,5.0,,1.0,1.0,0.0,0,0.17
20250600000000.0,54394342,1.0,5.0,,42.65821,-73.76917,1.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,25,50,78,352,92.0,28.0,0.0,194,30.0,168,12600.0,4.95,4.95,4.97,4.99,5.0,4.96,4.96,,1.0,0.0,1.0,0,1.13
20250600000000.0,15223767,3.0,3.0,,42.65464,-73.78348,2.0,1.0,1.0,1.0,1.0,730,1.0,2.0,730,730,1.3,730.0,,0,0,0,94,13.5,22.0,1.0,31,28.0,132,7788.0,4.96,4.97,4.97,4.96,4.97,4.96,4.96,,3.0,0.0,3.0,0,3.39
20250600000000.0,44434571,11.0,13.0,,42.64535,-73.75365,5.0,1.0,1.0,2.0,1.0,28,1.0,3.0,1125,1125,2.1,1125.0,,7,31,61,336,13.5,5.0,1.0,177,4.0,255,20655.0,4.79,4.87,4.83,4.86,4.91,4.72,4.81,,9.0,9.0,0.0,0,1.2
20250600000000.0,44434571,11.0,13.0,,42.64535,-73.75365,3.0,1.0,0.0,1.0,1.0,28,1.0,3.0,1125,1125,2.2,1125.0,,17,40,70,343,13.5,5.0,0.0,184,4.0,255,14280.0,4.72,4.76,4.71,4.83,4.9,4.61,4.7,,9.0,9.0,0.0,0,1.2
20250600000000.0,194113768,2.0,2.0,,42.6737,-73.75313,2.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,12,18,48,134,7.0,1.0,0.0,87,1.0,6,420.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,,1.0,0.0,1.0,0,0.09
20250600000000.0,19648678,4.0,7.0,,42.65235,-73.76714,2.0,1.0,1.0,1.0,2.0,1125,1.0,3.0,1125,1125,2.7,1125.0,,28,46,76,351,107.0,17.0,2.0,192,9.0,102,8364.0,4.65,4.86,4.79,4.81,5.0,4.79,4.64,,4.0,4.0,0.0,0,1.33
20250600000000.0,98744672,8.0,8.0,,42.6533,-73.78114,1.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,11,39,69,344,68.0,0.0,0.0,185,4.0,0,0.0,4.94,4.93,4.94,4.94,4.97,4.96,4.93,,8.0,2.0,0.0,0,0.88
20250600000000.0,160340958,1.0,2.0,,42.67519,-73.82281,1.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,0,0,0,237,32.0,5.0,1.0,78,2.0,30,1410.0,4.75,4.72,4.69,4.88,4.88,4.91,4.75,,1.0,0.0,1.0,0,0.41
20250600000000.0,172223381,2.0,2.0,,42.64936,-73.80278,1.0,1.0,2.0,2.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,0,0,0,0,13.5,12.0,1.0,0,14.0,72,624.0,4.96,4.98,4.98,4.98,4.99,4.97,4.97,,2.0,0.0,2.0,0,2.78
20250600000000.0,97330032,1.0,1.0,,42.6761,-73.73825,4.0,1.0,2.0,2.0,3.0,26,3.0,3.0,1125,1125,3.0,1125.0,,30,60,90,269,1.0,1.0,0.0,206,1.0,6,624.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,0.0,1.0,0,0.13
20250600000000.0,44434571,11.0,13.0,,42.64563,-73.75311,6.0,1.0,2.0,3.0,1.0,28,1.0,3.0,1125,1125,2.2,1125.0,,20,35,65,340,13.5,42.0,5.0,181,31.0,252,21672.0,4.68,4.75,4.67,4.76,4.82,4.64,4.68,,9.0,9.0,0.0,0,5.91
20250600000000.0,44434571,11.0,13.0,,42.64585,-73.75297,6.0,1.0,2.0,2.0,1.0,28,1.0,3.0,1125,1125,2.2,1125.0,,15,29,59,334,13.5,48.0,0.0,175,37.0,255,22185.0,4.76,4.81,4.75,4.84,4.87,4.64,4.76,,9.0,9.0,0.0,0,1.2
20250600000000.0,232967878,24.0,5.0,,42.64335,-73.7579,6.0,1.0,2.0,3.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,28,28,28,28,13.5,45.0,2.0,28,4.0,255,30090.0,4.75,4.76,4.86,4.84,4.84,4.28,4.72,,3.0,2.0,0.0,0,4.35
20250600000000.0,15223767,3.0,3.0,,42.65259,-73.78223,2.0,1.0,1.0,1.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,6,24,49,228,13.5,41.0,2.0,165,36.0,246,12300.0,4.98,4.97,4.95,4.98,4.94,4.94,4.96,,3.0,0.0,3.0,0,2.75
20250600000000.0,232967878,24.0,5.0,,42.64506,-73.75727,2.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,27,27,27,27,13.5,29.0,1.0,27,48.0,174,15486.0,4.79,4.82,4.83,4.85,4.83,4.32,4.75,,3.0,2.0,0.0,0,4.27
